SYMBOL,OPEN ,HIGH,LOW,PREV. CLOSE,LTP,CHNG,%CHNG,VOLUME (shares),VALUE,52W H,52W L,365 D % CHNG,30 D % CHNG
NIFTY 50,17704.8,17748.75,17655.15,17624.05,17722.3,98.25,0.56,304263454,2.58415E+11,18887.6,15183.4,-0.9,1.21
KOTAKBANK,1847.2,1859,1826,1759.3,1840.5,81.2,4.62,9293763,17101081546,1997.55,1631,-1.41,3.53
JSWSTEEL,693.75,715,688.5,688.5,715,26.5,3.85,4076632,2872394907,790,520.05,-9,1.34
EICHERMOT,2970.45,3059,2970.45,2970.45,3056.2,85.75,2.89,618391,1874429696,3889.65,2310,16.25,-4.67
BAJAJ-AUTO,4080,4183.55,4070.55,4061.6,4171,109.4,2.69,685931,2839726903,4183.55,3460,6.59,6.27
TATASTEEL,105.55,107.85,105.1,104.95,107.6,2.65,2.53,49304956,5235693278,138.4,82.7,-92.34,-2.91
ITC,388.55,398.1,388,388.55,396,7.45,1.92,18237451,7199963280,398.1,249.15,45.09,0.14
ICICIBANK,873.7,885.6,865,868.45,882.9,14.45,1.66,39504022,34748527832,958.2,669.95,15.13,3.06
HINDALCO,412.9,418.05,411.15,411.45,417.5,6.05,1.47,4965642,2063522190,587.45,308.95,-29.27,1.43
BAJAJFINSV,1312.95,1325,1307.2,1305.05,1323.95,18.9,1.45,1281834,1689611032,1844,1072.72,-92.21,-1.79
MARUTI,8580,8670.95,8545,8535.15,8654,118.85,1.39,409240,3531327868,9769,7062.35,12.93,-0.77
M&M,1200,1204.2,1188.2,1188.6,1203.5,14.9,1.25,2443384,2922262830,1397,843.3,38.63,-3.11
SBIN,530.85,535.7,527.15,526.3,532.5,6.2,1.18,26414406,14080727406,629.55,430.7,1.98,-3.85
ONGC,157.1,159.3,156.4,157.15,158.85,1.7,1.08,13305621,2106812029,179.8,119.85,-8.05,0.87
POWERGRID,228.9,232,228.45,229.05,231.25,2.2,0.96,3829952,882191143.7,248.35,186.35,-1.53,1.1
NESTLEIND,19648,19695,19475,19530.2,19694,163.8,0.84,44126,864498500.3,21050,16000,5.84,5.65
BPCL,336.15,339.5,335.15,335.8,338.5,2.7,0.8,1364947,461215591.3,398.8,288.05,-12.68,2.99
SBILIFE,1110.9,1131.85,1108.4,1106.25,1115,8.75,0.79,913188,1019473951,1340.35,1033.2,-4.67,0.94
AXISBANK,848.25,855.7,844.05,847.35,853.7,6.35,0.75,23930907,20333852369,970,618.25,6.6,-0.53
HDFC,2729,2747,2716.85,2727.75,2746,18.25,0.67,5030066,13769453570,2780,2026,10.96,4.56
DIVISLAB,2909.7,2942,2901.2,2909.65,2929,19.35,0.67,137343,401770851.3,4640.8,2730,-35.43,4.38
CIPLA,905,908.15,902,901.85,907.05,5.2,0.58,1778775,1611303334,1185.25,852,-10.85,2.34
